Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<S>			type 			0			1			12			0			0			
1			<T>			i 			0			0			16			0			0			
2			<T>			r 			0			1			17			0			0			
3			<I>			a 			0			0			20			0			0			
4			<I>			b 			0			0			21			0			0			
5			<I>			c 			0			1			22			0			0			
6			<G>			a b c 			0			1			23			0			0			
7			<F>			a b c 			0			1			27			0			0			
8			<F1>			; 			0			0			31			0			0			
9			<F1>			end 			0			1			33			0			0			
10			<F0>			; 			0			0			34			0			0			
11			<F0>			# 			0			1			36			0			0			
12			type			type 			1			1			13			0			0			
13			<F>			a b c 			0			1			7			1			0			
14			#			# 			1			1			15			0			0			
15			$			$ 			1			1			null			0			1			
16			i			i 			1			1			null			0			0			
17			r			r 			1			1			18			0			0			
18			<G>			a b c 			0			1			6			1			0			
19			end			end 			1			1			null			0			0			
20			a			a 			1			1			null			0			0			
21			b			b 			1			1			null			0			0			
22			c			c 			1			1			null			0			0			
23			<I>			a b c 			0			1			3			1			0			
24			:			: 			1			1			25			0			0			
25			<T>			i r 			0			1			1			1			0			
26			<F1>			; end 			0			1			8			0			0			
27			<I>			a b c 			0			1			3			1			0			
28			=			= 			1			1			29			0			0			
29			<T>			i r 			0			1			1			1			0			
30			<F0>			; # 			0			1			10			0			0			
31			;			; 			1			1			32			0			0			
32			<G>			a b c 			0			1			6			0			0			
33			e			end 			0			1			null			0			0			
34			;			; 			1			1			35			0			0			
35			<F>			a b c 			0			1			7			0			0			
36			e			# 			0			1			null			0			0			
