Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<E>			( - id 			0			1			9			0			0			
1			<U>			* 			0			0			12			0			0			
2			<U>			$ + 			0			1			15			0			0			
3			<T>			( - id 			0			1			16			0			0			
4			<G>			+ 			0			0			18			0			0			
5			<G>			$ 			0			1			21			0			0			
6			<F>			( 			0			0			22			0			0			
7			<F>			- 			0			0			25			0			0			
8			<F>			id 			0			1			27			0			0			
9			<T>			( - id 			0			1			3			1			0			
10			<G>			+ $ 			0			1			4			1			0			
11			$			$ 			1			1			null			0			1			
12			*			* 			1			1			13			0			0			
13			<F>			( - id 			0			1			6			1			0			
14			<U>			* $ + 			0			1			1			0			0			
15			e			$ + 			0			1			null			0			0			
16			<F>			( - id 			0			1			6			1			0			
17			<U>			* $ + 			0			1			1			0			0			
18			+			+ 			1			1			19			0			0			
19			<T>			( - id 			0			1			3			1			0			
20			<G>			+ $ 			0			1			4			0			0			
21			e			$ 			0			1			null			0			0			
22			(			( 			1			1			23			0			0			
23			<E>			( - id 			0			1			0			1			0			
24			)			) 			1			1			null			0			0			
25			-			- 			1			1			26			0			0			
26			<F>			( - id 			0			1			6			0			0			
27			id			id 			1			1			null			0			0			
