Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<S>			a c 			0			1			11			0			0			
1			<R2>			d 			0			0			14			0			0			
2			<R2>			$ 			0			1			16			0			0			
3			<F1>			a c 			0			0			17			0			0			
4			<F1>			$ d b 			0			1			18			0			0			
5			<F0>			a c 			0			0			19			0			0			
6			<F0>			$ d b 			0			1			20			0			0			
7			<B>			$ d 			0			0			21			0			0			
8			<B>			b 			0			1			22			0			0			
9			<A>			a 			0			0			25			0			0			
10			<A>			c 			0			1			27			0			0			
11			<A>			a c 			0			1			9			1			0			
12			<B>			$ d b 			0			1			7			1			0			
13			$			$ 			1			1			null			0			1			
14			d			d 			1			1			15			0			0			
15			<R2>			d $ 			0			1			1			0			0			
16			e			$ 			0			1			null			0			0			
17			<A>			a c 			0			1			9			0			0			
18			e			$ d b 			0			1			null			0			0			
19			<A>			a c 			0			1			9			0			0			
20			e			$ d b 			0			1			null			0			0			
21			<R2>			d $ 			0			1			1			0			0			
22			b			b 			1			1			23			0			0			
23			<A>			a c 			0			1			9			1			0			
24			<R2>			d $ 			0			1			1			0			0			
25			a			a 			1			1			26			0			0			
26			<F0>			a c $ d b 			0			1			5			0			0			
27			c			c 			1			1			28			0			0			
28			<F1>			a c $ d b 			0			1			3			0			0			
