Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<S>			type 			0			1			12			0			0			
1			<T>			int 			0			0			16			0			0			
2			<T>			record 			0			1			17			0			0			
3			<M>			; 			0			0			20			0			0			
4			<M>			# 			0			1			22			0			0			
5			<K>			; 			0			0			23			0			0			
6			<K>			end 			0			1			25			0			0			
7			<I>			a 			0			0			26			0			0			
8			<I>			b 			0			0			27			0			0			
9			<I>			c 			0			1			28			0			0			
10			<G>			a b c 			0			1			29			0			0			
11			<F>			a b c 			0			1			33			0			0			
12			type			type 			1			1			13			0			0			
13			<F>			a b c 			0			1			11			1			0			
14			#			# 			1			1			15			0			0			
15			$			$ 			1			1			null			0			1			
16			int			int 			1			1			null			0			0			
17			record			record 			1			1			18			0			0			
18			<G>			a b c 			0			1			10			1			0			
19			end			end 			1			1			null			0			0			
20			;			; 			1			1			21			0			0			
21			<F>			a b c 			0			1			11			0			0			
22			e			# 			0			1			null			0			0			
23			;			; 			1			1			24			0			0			
24			<G>			a b c 			0			1			10			0			0			
25			e			end 			0			1			null			0			0			
26			a			a 			1			1			null			0			0			
27			b			b 			1			1			null			0			0			
28			c			c 			1			1			null			0			0			
29			<I>			a b c 			0			1			7			1			0			
30			:			: 			1			1			31			0			0			
31			<T>			int record 			0			1			1			1			0			
32			<K>			; end 			0			1			5			0			0			
33			<I>			a b c 			0			1			7			1			0			
34			=			= 			1			1			35			0			0			
35			<T>			int record 			0			1			1			1			0			
36			<M>			; # 			0			1			3			0			0			
